2024-03-20T15:14:19.427Z	info	service@v0.96.0/telemetry.go:55	Setting up own telemetry...
2024-03-20T15:14:19.427Z	info	service@v0.96.0/telemetry.go:97	Serving metrics	{"address": ":8888", "level": "Basic"}
2024-03-20T15:14:19.428Z	info	exporter@v0.96.0/exporter.go:275	Development component. May change in the future.	{"kind": "exporter", "data_type": "traces", "name": "debug"}
2024-03-20T15:14:19.429Z	info	exporter@v0.96.0/exporter.go:275	Development component. May change in the future.	{"kind": "exporter", "data_type": "metrics", "name": "debug"}
2024-03-20T15:14:19.429Z	warn	jaegerreceiver@v0.96.0/factory.go:49	jaeger receiver will deprecate Thrift-gen and replace it with Proto-gen to be compatbible to jaeger 1.42.0 and higher. See https://github.com/open-telemetry/opentelemetry-collector-contrib/pull/18485 for more details.	{"kind": "receiver", "name": "jaeger", "data_type": "traces"}
2024-03-20T15:14:19.429Z	info	exporter@v0.96.0/exporter.go:275	Development component. May change in the future.	{"kind": "exporter", "data_type": "logs", "name": "debug"}
2024-03-20T15:14:19.430Z	info	service@v0.96.0/service.go:143	Starting otelcol...	{"Version": "0.96.0", "NumCPU": 16}
2024-03-20T15:14:19.430Z	info	extensions/extensions.go:34	Starting extensions...
2024-03-20T15:14:19.430Z	info	extensions/extensions.go:37	Extension is starting...	{"kind": "extension", "name": "health_check"}
2024-03-20T15:14:19.430Z	info	healthcheckextension@v0.96.0/healthcheckextension.go:35	Starting health_check extension	{"kind": "extension", "name": "health_check", "config": {"Endpoint":"0.0.0.0:13133","TLSSetting":null,"CORS":null,"Auth":null,"MaxRequestBodySize":0,"IncludeMetadata":false,"ResponseHeaders":null,"Path":"/","ResponseBody":null,"CheckCollectorPipeline":{"Enabled":false,"Interval":"5m","ExporterFailureThreshold":5}}}
2024-03-20T15:14:19.430Z	warn	internal@v0.96.0/warning.go:42	Using the 0.0.0.0 address exposes this server to every network interface, which may facilitate Denial of Service attacks. Enable the feature gate to change the default and remove this warning.	{"kind": "extension", "name": "health_check", "documentation": "https://github.com/open-telemetry/opentelemetry-collector/blob/main/docs/security-best-practices.md#safeguards-against-denial-of-service-attacks", "feature gate ID": "component.UseLocalHostAsDefaultHost"}
